generation,best_fitness,mean_fitness,median_fitness
0,9.0,9.0,9.0
1,9.0,9.0,9.0
2,9.0,9.0,9.0
3,9.0,9.0,9.0
4,9.0,9.0,9.0
5,9.0,9.0,9.0
6,9.0,9.0,9.0
7,9.0,9.0,9.0
8,9.0,9.0,9.0
9,9.0,9.0,9.0
10,9.0,9.0,9.0
11,9.0,9.0,9.0
12,9.0,9.0,9.0
13,9.0,9.0,9.0
14,9.0,9.0,9.0
15,9.0,9.0,9.0
16,9.0,9.0,9.0
17,9.0,9.0,9.0
18,9.0,9.0,9.0
19,9.0,9.0,9.0
20,9.0,9.0,9.0
21,9.0,9.0,9.0
22,9.0,9.0,9.0
23,56.0,9.94,9.0
24,80.0,17.16,9.0
25,110.0,36.32,33.5
26,153.0,47.92,56.0
27,184.0,58.6,80.0
28,184.0,70.7,80.0
29,184.0,97.74,110.0
30,184.0,112.82,184.0
31,184.0,113.72,184.0
32,184.0,118.08,184.0
33,187.0,122.06,184.0
34,199.0,125.5,184.0
35,216.0,137.02,184.0
36,393.0,143.04,187.0
37,467.0,129.6,101.0
38,467.0,167.98,101.0
39,500.0,260.54,328.0
40,500.0,299.72,449.5
41,500.0,297.32,410.0
42,500.0,267.18,184.0
43,500.0,250.3272727272727,184.0
44,500.0,306.4313725490196,427.0
45,500.0,236.88235294117646,138.0
46,500.0,273.9423076923077,291.5
47,500.0,245.2549019607843,134.0
48,500.0,310.54,500.0
49,500.0,287.0980392156863,500.0
