generation,best_fitness,mean_fitness,median_fitness
0,-200.0,-200.0,-200.0
1,-200.0,-200.0,-200.0
2,-200.0,-200.0,-200.0
3,-200.0,-200.0,-200.0
4,-200.0,-200.0,-200.0
5,-200.0,-200.0,-200.0
6,-200.0,-200.0,-200.0
7,-200.0,-200.0,-200.0
8,-200.0,-200.0,-200.0
9,-200.0,-200.0,-200.0
10,-200.0,-200.0,-200.0
11,-200.0,-200.0,-200.0
12,-200.0,-200.0,-200.0
13,-200.0,-200.0,-200.0
14,-200.0,-200.0,-200.0
15,-200.0,-200.0,-200.0
16,-200.0,-200.0,-200.0
17,-200.0,-200.0,-200.0
18,-200.0,-200.0,-200.0
19,-200.0,-200.0,-200.0
20,-200.0,-200.0,-200.0
21,-200.0,-200.0,-200.0
22,-200.0,-200.0,-200.0
23,-200.0,-200.0,-200.0
24,-200.0,-200.0,-200.0
25,-200.0,-200.0,-200.0
26,-200.0,-200.0,-200.0
27,-200.0,-200.0,-200.0
28,-200.0,-200.0,-200.0
29,-200.0,-200.0,-200.0
30,-200.0,-200.0,-200.0
31,-200.0,-200.0,-200.0
32,-200.0,-200.0,-200.0
33,-200.0,-200.0,-200.0
34,-200.0,-200.0,-200.0
35,-200.0,-200.0,-200.0
36,-200.0,-200.0,-200.0
37,-200.0,-200.0,-200.0
38,-200.0,-200.0,-200.0
39,-200.0,-200.0,-200.0
40,-200.0,-200.0,-200.0
41,-200.0,-200.0,-200.0
42,-163.0,-199.26,-200.0
43,-163.0,-198.52,-200.0
44,-163.0,-194.08,-200.0
45,-163.0,-188.16,-200.0
46,-163.0,-185.2,-200.0
47,-163.0,-180.82,-164.5
48,-163.0,-182.98,-200.0
49,-163.0,-179.3,-163.0
50,-163.0,-182.3,-200.0
51,-163.0,-182.26,-200.0
52,-163.0,-176.36,-163.0
53,-163.0,-178.54,-163.0
54,-163.0,-180.92,-167.0
55,-163.0,-177.82,-163.0
56,-163.0,-181.5,-181.5
57,-163.0,-179.32,-163.0
58,-163.0,-176.4,-163.0
59,-163.0,-178.54,-163.0
60,-163.0,-178.62,-163.5
61,-163.0,-181.56,-182.5
62,-163.0,-179.38,-163.5
63,-163.0,-180.04,-163.0
64,-163.0,-175.64,-163.0
65,-163.0,-177.8,-163.0
66,-163.0,-174.92,-163.0
67,-163.0,-177.06,-163.0
68,-163.0,-180.08,-164.0
69,-163.0,-174.16,-163.0
70,-163.0,-181.5,-181.5
71,-163.0,-183.02,-200.0
72,-163.0,-174.1,-163.0
73,-163.0,-181.5,-181.5
74,-163.0,-176.36,-163.0
75,-163.0,-176.38,-163.0
76,-163.0,-175.6,-163.0
77,-163.0,-178.64,-163.0
78,-163.0,-176.34,-163.0
79,-163.0,-177.82,-163.0
80,-163.0,-181.5,-181.5
81,-163.0,-177.82,-163.0
82,-163.0,-179.28,-163.0
83,-163.0,-175.6,-163.0
84,-163.0,-176.36,-163.0
85,-163.0,-177.08,-163.0
86,-163.0,-174.84,-163.0
87,-163.0,-171.94,-163.0
88,-163.0,-178.6,-163.0
89,-163.0,-180.78,-163.5
90,-163.0,-177.06,-163.0
91,-163.0,-178.54,-163.0
92,-163.0,-178.6,-163.0
93,-163.0,-181.54,-182.0
94,-163.0,-175.6,-163.0
95,-163.0,-182.24,-200.0
96,-163.0,-179.28,-163.0
97,-163.0,-174.12,-163.0
98,-163.0,-179.3,-163.0
99,-163.0,-177.1,-163.0
100,-163.0,-177.14,-163.0
101,-163.0,-174.14,-163.0
102,-163.0,-177.06,-163.0
103,-163.0,-179.28,-163.0
104,-163.0,-177.82,-163.0
105,-163.0,-179.34,-163.5
106,-163.0,-176.38,-163.0
107,-126.0,-180.02,-163.0
108,-126.0,-178.54,-163.0
109,-126.0,-171.92,-163.0
110,-126.0,-163.76,-163.0
111,-125.0,-158.52,-126.0
112,-125.0,-161.34,-126.0
113,-125.0,-158.9811320754717,-125.0
114,-125.0,-159.6346153846154,-125.0
115,-125.0,-161.05882352941177,-125.0
116,-125.0,-170.58823529411765,-200.0
117,-125.0,-166.1764705882353,-200.0
118,-125.0,-166.1764705882353,-200.0
119,-125.0,-166.19607843137254,-200.0
120,-125.0,-163.2549019607843,-200.0
121,-125.0,-173.52941176470588,-200.0
122,-125.0,-169.88235294117646,-200.0
123,-125.0,-160.3921568627451,-126.0
124,-125.0,-157.35294117647058,-125.0
125,-125.0,-161.76470588235293,-125.0
126,-125.0,-167.64705882352942,-200.0
127,-125.0,-170.58823529411765,-200.0
128,-125.0,-166.1764705882353,-200.0
129,-125.0,-163.23529411764707,-200.0
130,-125.0,-164.7058823529412,-200.0
131,-125.0,-163.27450980392157,-200.0
132,-125.0,-163.27450980392157,-200.0
133,-125.0,-160.37254901960785,-126.0
134,-125.0,-157.37254901960785,-125.0
135,-125.0,-164.7058823529412,-200.0
136,-125.0,-161.84313725490196,-128.0
137,-125.0,-161.76470588235293,-125.0
138,-125.0,-154.41176470588235,-125.0
139,-125.0,-154.54901960784315,-125.0
140,-125.0,-164.7058823529412,-200.0
141,-125.0,-165.47058823529412,-200.0
142,-125.0,-163.27450980392157,-200.0
143,-125.0,-164.7058823529412,-200.0
144,-125.0,-167.64705882352942,-200.0
145,-125.0,-166.2156862745098,-200.0
146,-125.0,-166.27450980392157,-200.0
147,-125.0,-166.19607843137254,-200.0
148,-125.0,-166.19607843137254,-200.0
149,-125.0,-160.2941176470588,-125.0
150,-125.0,-167.64705882352942,-200.0
151,-125.0,-163.23529411764707,-200.0
152,-125.0,-172.09803921568627,-200.0
153,-125.0,-166.19607843137254,-200.0
154,-125.0,-164.7058823529412,-200.0
155,-125.0,-167.68627450980392,-200.0
156,-125.0,-161.84313725490196,-127.0
157,-125.0,-167.7058823529412,-200.0
158,-125.0,-160.31372549019608,-125.0
159,-125.0,-167.70689655172413,-200.0
160,-125.0,-167.45283018867926,-200.0
161,-125.0,-168.88679245283018,-200.0
162,-125.0,-169.71153846153845,-200.0
163,-125.0,-161.76470588235293,-125.0
164,-125.0,-161.76470588235293,-125.0
165,-125.0,-164.76470588235293,-200.0
166,-125.0,-151.47058823529412,-125.0
167,-125.0,-151.52941176470588,-125.0
168,-125.0,-147.11764705882354,-125.0
169,-125.0,-154.41176470588235,-125.0
170,-125.0,-157.37254901960785,-125.0
171,-125.0,-159.5,-125.0
172,-125.0,-155.06,-125.0
173,-125.0,-158.04,-125.0
174,-125.0,-161.7843137254902,-126.0
175,-125.0,-157.3921568627451,-125.0
176,-125.0,-155.92156862745097,-125.0
177,-125.0,-158.8235294117647,-125.0
178,-125.0,-158.84313725490196,-125.0
179,-125.0,-155.88235294117646,-125.0
180,-125.0,-146.6346153846154,-125.0
181,-125.0,-159.2280701754386,-125.0
182,-125.0,-155.28846153846155,-125.0
183,-125.0,-157.56603773584905,-125.0
184,-125.0,-154.71698113207546,-125.0
185,-125.0,-158.96226415094338,-125.0
186,-125.0,-156.1320754716981,-125.0
187,-125.0,-157.54716981132074,-125.0
188,-125.0,-156.24528301886792,-125.0
189,-125.0,-160.37735849056602,-125.0
190,-125.0,-157.56603773584905,-125.0
191,-125.0,-157.56603773584905,-125.0
192,-125.0,-154.71698113207546,-125.0
193,-125.0,-157.54716981132074,-125.0
