generation,best_fitness,mean_fitness,median_fitness
0,60.0,60.0,60.0
1,60.0,60.0,60.0
2,60.0,60.0,60.0
3,60.0,60.0,60.0
4,60.0,60.0,60.0
5,60.0,60.0,60.0
6,60.0,60.0,60.0
7,60.0,60.0,60.0
8,60.0,60.0,60.0
9,60.0,60.0,60.0
10,60.0,60.0,60.0
11,60.0,60.0,60.0
12,60.0,60.0,60.0
13,60.0,60.0,60.0
14,60.0,60.0,60.0
15,60.0,60.0,60.0
16,60.0,60.0,60.0
17,60.0,60.0,60.0
18,60.0,60.0,60.0
19,60.0,60.0,60.0
20,60.0,60.0,60.0
21,60.0,60.0,60.0
22,60.0,60.0,60.0
23,60.0,60.0,60.0
24,60.0,60.0,60.0
25,60.0,60.0,60.0
26,60.0,60.0,60.0
27,60.0,60.0,60.0
28,60.0,60.0,60.0
29,60.0,60.0,60.0
30,60.0,60.0,60.0
31,60.0,60.0,60.0
32,60.0,60.0,60.0
33,60.0,60.0,60.0
34,60.0,60.0,60.0
35,60.0,60.0,60.0
36,60.0,60.0,60.0
37,60.0,60.0,60.0
38,60.0,60.0,60.0
39,60.0,60.0,60.0
40,60.0,60.0,60.0
41,60.0,60.0,60.0
42,60.0,60.0,60.0
43,60.0,60.0,60.0
44,70.0,60.2,60.0
45,70.0,61.2,60.0
46,70.0,65.0,65.0
47,70.0,67.6,70.0
48,70.0,67.8,70.0
49,70.0,68.0,70.0
50,70.0,67.8,70.0
51,70.0,68.4,70.0
52,70.0,67.8,70.0
53,70.0,66.8,70.0
54,70.0,67.2,70.0
55,70.0,68.2,70.0
56,70.0,68.0,70.0
57,70.0,67.2,70.0
58,70.0,66.6,70.0
59,70.0,66.8,70.0
60,70.0,67.6,70.0
61,70.0,67.6,70.0
62,70.0,67.8,70.0
63,70.0,67.0,70.0
64,70.0,66.6,70.0
65,70.0,67.0,70.0
66,70.0,66.8,70.0
67,70.0,67.0,70.0
68,70.0,66.0,70.0
69,70.0,67.0,70.0
70,70.0,68.0,70.0
71,70.0,67.6,70.0
72,70.0,67.0,70.0
73,70.0,67.6,70.0
74,70.0,67.8,70.0
75,70.0,67.2,70.0
76,70.0,67.0,70.0
77,70.0,67.0,70.0
78,70.0,67.8,70.0
79,70.0,68.2,70.0
80,70.0,67.2,70.0
81,70.0,67.2,70.0
82,70.0,68.6,70.0
83,70.0,66.8,70.0
84,70.0,67.4,70.0
85,70.0,67.4,70.0
86,70.0,67.8,70.0
87,70.0,68.4,70.0
88,70.0,67.8,70.0
89,70.0,67.4,70.0
90,70.0,67.8,70.0
91,70.0,67.0,70.0
92,70.0,67.2,70.0
93,70.0,67.6,70.0
94,70.0,66.8,70.0
95,70.0,67.8,70.0
96,70.0,68.6,70.0
97,70.0,67.4,70.0
98,70.0,68.8,70.0
99,70.0,68.6,70.0
100,70.0,67.4,70.0
